City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Nambucca Heads,-30.65,153.0,48.99,93,40,1.12,AU,2020-06-29 17:20:11
1,Jamestown,42.1,-79.24,80.01,53,20,4.7,US,2020-06-29 17:11:21
2,Rikitea,-23.12,-134.97,68.76,56,95,15.1,PF,2020-06-29 17:11:15
3,Yar-Sale,66.83,70.83,52.84,90,79,4.47,RU,2020-06-29 17:20:11
4,Sarangani,5.4,125.46,81.63,68,71,1.99,PH,2020-06-29 17:20:11
5,New Norfolk,-42.78,147.06,43.0,92,0,1.88,AU,2020-06-29 17:11:35
6,Butaritari,3.07,172.79,82.99,64,98,7.27,KI,2020-06-29 17:11:21
7,Port Lincoln,-34.73,135.87,56.12,43,78,16.55,AU,2020-06-29 17:11:34
8,El Alto,-4.27,-81.21,77.0,61,6,16.11,PE,2020-06-29 17:20:11
9,Minatitlan,17.98,-94.52,89.6,66,40,2.24,MX,2020-06-29 17:20:12
10,Vallenar,-28.57,-70.76,64.72,38,100,5.86,CL,2020-06-29 17:11:35
11,Meulaboh,4.14,96.13,77.83,86,92,3.56,ID,2020-06-29 17:11:16
12,Bonthe,7.53,-12.51,80.89,80,98,13.24,SL,2020-06-29 17:20:12
13,Lichinga,-13.31,35.24,62.01,70,80,7.11,MZ,2020-06-29 17:20:12
14,Ust-Koksa,50.27,85.61,50.99,58,100,0.81,RU,2020-06-29 17:12:26
15,Saint George,37.1,-113.58,75.0,27,1,9.17,US,2020-06-29 17:07:27
16,Teya,60.38,92.63,53.53,91,100,2.35,RU,2020-06-29 17:20:13
17,Kavaratti,10.57,72.64,83.84,81,100,19.08,IN,2020-06-29 17:20:13
18,Barrow,71.29,-156.79,41.0,80,1,14.99,US,2020-06-29 17:11:25
19,Mataura,-46.19,168.86,39.0,83,97,3.0,NZ,2020-06-29 17:11:12
20,Srikakulam,18.3,83.9,84.04,84,100,7.58,IN,2020-06-29 17:20:13
21,Pringsewu,-5.36,104.97,72.43,92,52,1.54,ID,2020-06-29 17:20:13
22,Port Hedland,-20.32,118.57,60.8,72,2,5.82,AU,2020-06-29 17:20:13
23,Kuytun,54.34,101.5,62.92,91,23,5.55,RU,2020-06-29 17:20:13
24,Barranca,-10.75,-77.77,66.79,70,89,10.85,PE,2020-06-29 17:20:14
25,Havelock,34.88,-76.9,89.6,52,75,4.76,US,2020-06-29 17:11:28
26,Havre-Saint-Pierre,50.23,-63.6,62.6,77,1,12.75,CA,2020-06-29 17:12:01
27,Orneta,54.11,20.13,60.21,96,100,4.25,PL,2020-06-29 17:20:14
28,Punta Arenas,-53.15,-70.92,30.2,92,75,4.7,CL,2020-06-29 17:10:24
29,Vanimo,-2.67,141.3,78.22,81,100,4.65,PG,2020-06-29 17:12:00
30,Aguimes,27.91,-15.45,78.01,65,20,33.33,ES,2020-06-29 17:20:14
31,Bengkulu,-3.8,102.27,77.45,90,59,6.15,ID,2020-06-29 17:11:34
32,Cape Town,-33.93,18.42,60.01,93,75,4.7,ZA,2020-06-29 17:09:45
33,Ushuaia,-54.8,-68.3,33.8,80,75,10.29,AR,2020-06-29 17:08:14
34,Bluff,-46.6,168.33,39.0,83,99,3.0,NZ,2020-06-29 17:11:29
35,Hofn,64.25,-15.21,55.4,62,75,13.87,IS,2020-06-29 17:11:29
36,Provideniya,64.38,-173.3,40.05,72,23,6.91,RU,2020-06-29 17:11:29
37,Dekar,-21.53,21.93,57.51,32,0,6.38,BW,2020-06-29 17:20:15
38,Mnogovershinnyy,53.94,139.92,41.14,100,95,0.65,RU,2020-06-29 17:20:15
39,Sinegorye,62.08,150.48,51.13,86,95,7.94,RU,2020-06-29 17:20:15
40,Tuktoyaktuk,69.45,-133.04,48.2,66,40,8.05,CA,2020-06-29 17:11:22
41,Aklavik,68.22,-135.01,60.8,44,40,6.93,CA,2020-06-29 17:11:28
42,Ankpa,7.37,7.63,78.3,88,89,1.63,NG,2020-06-29 17:20:15
43,Hithadhoo,-0.6,73.08,85.5,67,58,5.53,MV,2020-06-29 17:11:27
44,Kapaa,22.08,-159.32,75.0,94,75,5.82,US,2020-06-29 17:11:12
45,Busselton,-33.65,115.33,57.99,62,73,16.67,AU,2020-06-29 17:11:11
46,Tasiilaq,65.61,-37.64,48.2,76,75,6.93,GL,2020-06-29 17:11:20
47,Mbulu,-3.85,35.53,60.44,52,81,9.66,TZ,2020-06-29 17:20:15
48,Cayenne,4.93,-52.33,86.0,74,28,4.7,GF,2020-06-29 17:11:29
49,Puerto Ayora,-0.74,-90.35,77.0,65,75,14.99,EC,2020-06-29 17:11:24
50,Gaoual,11.75,-13.2,91.85,53,83,5.88,GN,2020-06-29 17:20:16
